,escola,postal_code,district,neighborhood,tipus,no2_corregit,no2_2017,census_track,renta,poblacio
207,Escola Timbaler del Bruc (Nou Barris),8027,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,57,55,8012,13907,1348
208,Escola Timbaler del Bruc (Nou Barris),8027,Sant Andreu,el Congrés i els Indians,tràfic,114,110,9079,14992,1609
209,Escola Timbaler del Bruc (Nou Barris),8032,Horta-Guinardó,el Guinardó,tràfic,52,50,7047,14602,1511
210,Escola Timbaler del Bruc (Nou Barris),8031,Nou Barris,Vilapicina i la Torre Llobeta,fons,41,39,8009,12793,1687
211,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,53,51,8012,13907,1348
212,Escola Timbaler del Bruc (Nou Barris),8031,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,131,126,8012,13907,1348
213,Escola Timbaler del Bruc (Nou Barris),8031,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,46,44,8010,14657,1072
214,Escola Timbaler del Bruc (Nou Barris),8031,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,56,54,8009,12793,1687
215,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,50,48,8016,13103,1144
216,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Porta,tràfic,42,40,8023,12106,1393
217,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,62,60,8019,12464,1788
218,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,45,43,8017,15071,1336
219,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,fons,47,45,8017,15071,1336
220,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,66,63,8017,15071,1336
221,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,66,63,8015,12103,1420
222,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,tràfic,55,53,8015,12103,1420
223,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,pati,54,52,8015,12103,1420
224,Escola Timbaler del Bruc (Nou Barris),8027,Nou Barris,Vilapicina i la Torre Llobeta,pati,51,49,8015,12103,1420
225,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,pati,45,43,8015,12103,1420
226,Escola Timbaler del Bruc (Nou Barris),8016,Nou Barris,Vilapicina i la Torre Llobeta,aula,36,35,8015,12103,1420
227,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,51,49,6088,17915,1223
228,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,50,48,6082,17857,2002
229,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,45,43,6083,18552,1743
230,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,54,52,6082,17857,2002
231,Escola Pau Casals (Gràcia),8025,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,44,42,6080,16484,1174
232,Escola Pau Casals (Gràcia),8024,Gràcia,la Vila de Gràcia,tràfic,53,51,6063,14963,1533
233,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,fons,34,33,6088,17915,1223
234,Escola Pau Casals (Gràcia),8024,Gràcia,la Salut,tràfic,40,38,6024,16907,1670
235,Escola Pau Casals (Gràcia),8024,Gràcia,la Salut,fons,40,38,6024,16907,1670
236,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,49,47,6087,20606,1857
237,Escola Pau Casals (Gràcia),8024,Gràcia,el Camp d'en Grassot i Gràcia Nova,tràfic,42,40,6087,20606,1857
